trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.01, 'e': 0.9420005800000029}",20,0,-47.07430954081269,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.9410005900000029}",20,0,-106.31521631890436,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.940000600000003}",25,0,-129.48370201372424,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.939000610000003}",20,0,-78.89738902710141,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.9380006200000031}",25,0,-160.59182854055615,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.9370006300000031}",20,0,-104.87095225545625,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.9360006400000032}",20,0,-78.14450109628616,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.9350006500000032}",30,0,-87.1164617622952,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.9340006600000033}",25,0,-160.68894587000554,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.9330006700000033}",25,0,-69.85510429489234,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.9320006800000034}",20,0,-90.06609985668304,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.9310006900000034}",30,0,-92.34105844432253,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.9300007000000035}",20,0,-54.5702029133252,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
71,False,"{'a': 0.01, 'e': 0.9290007100000035}",20,0,-42.59237512209905,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.9280007200000036}",20,0,-97.40393197042492,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.9270007300000036}",20,0,-43.365830850219254,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.9260007400000037}",25,6,-33.47991943621411,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.9250007500000037}",20,2,-116.954824866385,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.9240007600000038}",20,0,-79.20306406683973,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.9230007700000038}",25,0,-146.01703969000536,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",1
78,False,"{'a': 0.01, 'e': 0.9220007800000039}",20,0,-88.73586451328887,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.9210007900000039}",25,0,-63.86709226133885,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
